ChildChannel,Date,Duration,EpNo,ParentChannel,ProgEpisodeName,Series,SeriesNo,Source,StartTime,VersionCensorship
Darwin,1982/10/13,NULL,28,Group Network for TIS,WONDERFUL CAKE,WORDS AND PICTURES,7603,1,00:00:00,NULL
Melbourne,1982/10/13,NULL,0,Group Network for TIS,ACCORDING TO YOUR CLOTH,,0,1,00:01:00,NULL
Sydney,1982/10/13,NULL,409,Group Network for TIS,PLAY SCHOOL,PLAY SCHOOL,7524,1,09:30:00,NULL
Sydney,1982/10/13,NULL,4,Group Network for TIS,NO TRESPASSING,SELF INCORPORATED,100,1,10:15:00,NULL
Adelaide,1982/10/13,NULL,26,Group Network for TIS,MRS.MOPPLE'S WASHING LINE,WORDS AND PICTURES,7603,1,00:00:00,NULL
Hobart,1982/10/14,NULL,3,Group Network for TIS,TAS '78,TAS '78,7800,1,11:40:00,NULL
Melbourne,1982/10/14,NULL,21,Group Network for TIS,DOUBLE TROUBLE,CHORLTON AND THE WHEELIES,100,1,00:00:00,NULL
Perth,1982/10/14,NULL,4,Group Network for TIS,DAY OF A BUDDIST MONK,MAN AND RELIGION,100,1,00:00:00,NULL
Hobart,1982/10/14,NULL,26,Group Network for TIS,SNOWDRAGON,CHORLTON AND THE WHEELIES,100,1,00:00:00,NULL
Brisbane,1982/10/14,NULL,1,Group Network for TIS,TRUTH ABOUT GEORGE,WODEHOUSE PLAYHOUSE,100,1,19:30:00,NULL
Melbourne,1982/10/14,NULL,12,Group Network for TIS,GEOFF DAVIDSON: POTTER,FACE TO FACE,100,1,20:00:00,NULL
Adelaide,1982/10/14,NULL,5,Group Network for TIS,FADS,OUTLOOK - SCHOOLS,200,1,10:50:00,NULL
Perth,1982/10/14,NULL,1,Group Network for TIS,TRUTH ABOUT GEORGE,WODEHOUSE PLAYHOUSE,100,1,19:30:00,NULL
Brisbane,1982/10/14,NULL,10,Group Network for TIS,BACH AND THE ORGAN,MUSICAL TRIANGLES,200,1,00:00:00,NULL
Sydney,1982/10/14,NULL,12,Group Network for TIS,GEOFF DAVIDSON: POTTER,FACE TO FACE,100,1,20:00:00,NULL
Adelaide,1982/10/14,NULL,0,Group Network for TIS,SCARLET PIMPERNEL,,0,1,00:00:00,NULL
Hobart,1982/10/14,NULL,1,Group Network for TIS,TRUTH ABOUT GEORGE,WODEHOUSE PLAYHOUSE,100,1,19:30:00,NULL
Adelaide,1982/10/14,NULL,2,Group Network for TIS,DAVE ALLEN AT LARGE,DAVE ALLEN AT LARGE,400,1,00:00:00,NULL
Brisbane,1982/10/14,NULL,20,Group Network for TIS,SKELETON CLUE,SWISS FAMILY ROBINSON,100,1,00:00:00,NULL
Sydney,1982/10/14,NULL,2,Group Network for TIS,DAVE ALLEN AT LARGE,DAVE ALLEN AT LARGE,400,1,00:00:00,NULL
Brisbane,1982/10/14,NULL,18,Group Network for TIS,SCULPTOR,RED AND THE BLUE,100,1,00:00:00,NULL
Hobart,1982/10/14,NULL,410,Group Network for TIS,PLAY SCHOOL,PLAY SCHOOL,7524,1,09:30:00,NULL
Melbourne,1982/10/14,NULL,410,Group Network for TIS,PLAY SCHOOL,PLAY SCHOOL,7524,1,09:30:00,NULL
Darwin,1982/10/14,NULL,10,Group Network for TIS,BACH AND THE ORGAN,MUSICAL TRIANGLES,200,1,00:00:00,NULL
Melbourne,1982/10/14,NULL,2,Group Network for TIS,JUDAISM IN ISRAEL,MAN AND RELIGION,100,1,00:00:00,NULL
Hobart,1982/10/14,NULL,0,Group Network for TIS,BICYCLE STALL IN MALAYSIA,,0,1,00:00:00,NULL
Darwin,1982/10/14,NULL,20,Group Network for TIS,SKELETON CLUE,SWISS FAMILY ROBINSON,100,1,00:00:00,NULL
Darwin,1982/10/14,NULL,425,Group Network for TIS,PLAY SCHOOL,PLAY SCHOOL,7524,1,09:00:00,NULL
Sydney,1982/10/14,NULL,0,Group Network for TIS,AT THE BEACH,,0,1,11:00:00,NULL
Melbourne,1982/10/14,NULL,23,Group Network for TIS,CASTAWAY,SWISS FAMILY ROBINSON,100,1,00:00:00,NULL
Hobart,1982/10/14,NULL,2,Group Network for TIS,DAVE ALLEN AT LARGE,DAVE ALLEN AT LARGE,400,1,00:00:00,NULL
Perth,1982/10/14,NULL,2,Group Network for TIS,DAVE ALLEN AT LARGE,DAVE ALLEN AT LARGE,400,1,00:00:00,NULL
Darwin,1982/10/14,NULL,18,Group Network for TIS,SCULPTOR,RED AND THE BLUE,100,1,00:00:00,NULL
Brisbane,1982/10/14,NULL,2,Group Network for TIS,DAVE ALLEN AT LARGE,DAVE ALLEN AT LARGE,400,1,00:00:00,NULL
Perth,1982/10/14,NULL,21,Group Network for TIS,GROWLY BEAR,WORDS AND PICTURES,7603,1,00:00:00,NULL
Darwin,1982/10/14,NULL,1,Group Network for TIS,TRUTH ABOUT GEORGE,WODEHOUSE PLAYHOUSE,100,1,19:30:00,NULL
Adelaide,1982/10/14,NULL,6,Group Network for TIS,RANA,ASIAN NEIGHBOURS - INDIA,100,1,00:00:00,NULL
Adelaide,1982/10/14,NULL,5,Group Network for TIS,TICKETS OF LEAVE,COLONIALS,100,1,00:00:00,NULL
Sydney,1982/10/14,NULL,2,Group Network for TIS,JUDAISM IN ISRAEL,MAN AND RELIGION,100,1,00:00:00,NULL
Sydney,1982/10/15,NULL,2,Group Network for TIS,TOMMY BURNS VS GUNNER MOIR,GREATEST FIGHTS OF THE CENTURY,100,1,00:00:00,NULL
Perth,1982/10/15,NULL,54,Group Network for TIS,ROBINSON VS GRAZIANO,GREATEST FIGHTS OF THE CENTURY,100,1,00:00:00,NULL
Brisbane,1982/10/15,NULL,73,Group Network for TIS,ALI VS ELLIS,GREATEST FIGHTS OF THE CENTURY,100,1,00:00:00,NULL
Perth,1982/10/16,NULL,35,Group Network for TIS,FOUR CORNERS,FOUR CORNERS,7800,1,20:00:00,NULL
Brisbane,1982/10/16,NULL,12,Group Network for TIS,"WORLD CHESS CHAMPIONSHIPS, 1978",""WORLD CHESS CHAMPIONSHIPS, 1978",""100",1,00:00:00,NULL,
Melbourne,1982/10/16,NULL,8,Group Network for TIS,WOMEN,BIG COUNTRY,1800,1,19:30:00,NULL
Melbourne,1982/10/16,NULL,12,Group Network for TIS,"WORLD CHESS CHAMPIONSHIPS, 1978",""WORLD CHESS CHAMPIONSHIPS, 1978",""100",1,00:00:00,NULL,
Perth,1982/10/16,NULL,5,Group Network for TIS,HOUSE OF THE GENTLE BUNYIP,VISION IN MIND,7800,1,22:30:00,NULL
Brisbane,1982/10/16,NULL,5,Group Network for TIS,HOUSE OF THE GENTLE BUNYIP,VISION IN MIND,7800,1,22:30:00,NULL
Perth,1982/10/16,NULL,12,Group Network for TIS,"WORLD CHESS CHAMPIONSHIPS, 1978",""WORLD CHESS CHAMPIONSHIPS, 1978",""100",1,00:00:00,NULL,
Hobart,1982/10/16,NULL,5,Group Network for TIS,HOUSE OF THE GENTLE BUNYIP,VISION IN MIND,7800,1,22:30:00,NULL
Sydney,1982/10/16,NULL,5,Group Network for TIS,HOUSE OF THE GENTLE BUNYIP,VISION IN MIND,7800,1,22:30:00,NULL
Melbourne,1982/10/16,NULL,35,Group Network for TIS,FOUR CORNERS,FOUR CORNERS,7800,1,20:00:00,NULL
Adelaide,1982/10/16,NULL,12,Group Network for TIS,"WORLD CHESS CHAMPIONSHIPS, 1978",""WORLD CHESS CHAMPIONSHIPS, 1978",""100",1,00:00:00,NULL,
Adelaide,1982/10/16,NULL,35,Group Network for TIS,FOUR CORNERS,FOUR CORNERS,7800,1,20:00:00,NULL
Darwin,1982/10/16,NULL,12,Group Network for TIS,"WORLD CHESS CHAMPIONSHIPS, 1978",""WORLD CHESS CHAMPIONSHIPS, 1978",""100",1,00:00:00,NULL,
Darwin,1982/10/16,NULL,5,Group Network for TIS,HOUSE OF THE GENTLE BUNYIP,VISION IN MIND,7800,1,22:30:00,NULL
Hobart,1982/10/16,NULL,35,Group Network for TIS,FOUR CORNERS,FOUR CORNERS,7800,1,20:00:00,NULL
Sydney,1982/10/16,NULL,12,Group Network for TIS,"WORLD CHESS CHAMPIONSHIPS, 1978",""WORLD CHESS CHAMPIONSHIPS, 1978",""100",1,00:00:00,NULL,
Brisbane,1982/10/16,NULL,35,Group Network for TIS,FOUR CORNERS,FOUR CORNERS,7800,1,20:00:00,NULL
Adelaide,1982/10/16,NULL,5,Group Network for TIS,HOUSE OF THE GENTLE BUNYIP,VISION IN MIND,7800,1,22:30:00,NULL
Hobart,1982/10/16,NULL,12,Group Network for TIS,"WORLD CHESS CHAMPIONSHIPS, 1978",""WORLD CHESS CHAMPIONSHIPS, 1978",""100",1,00:00:00,NULL,
Brisbane,1982/10/17,NULL,21,Group Network for TIS,ROGUE,SWISS FAMILY ROBINSON,100,1,00:00:00,NULL
Adelaide,1982/10/17,NULL,23,Group Network for TIS,WISHING TREE,CHORLTON AND THE WHEELIES,100,1,00:00:00,NULL
Sydney,1982/10/17,NULL,12,Group Network for TIS,FINAL PAYMENT,TRUCKIES,100,1,20:30:00,NULL
Hobart,1982/10/17,NULL,4,Group Network for TIS,PART 3: THE DEFEAT,HEIL CAESAR,100,1,00:00:00,NULL
Perth,1982/10/17,NULL,5,Group Network for TIS,TICKETS OF LEAVE,COLONIALS,100,1,00:00:00,NULL
Melbourne,1982/10/17,NULL,12,Group Network for TIS,FINAL PAYMENT,TRUCKIES,100,1,20:30:00,NULL
Sydney,1982/10/17,NULL,4,Group Network for TIS,PART 3: THE DEFEAT,HEIL CAESAR,100,1,00:00:00,NULL
Hobart,1982/10/17,NULL,0,Group Network for TIS,MALAYSIAN VILLAGE,,0,1,00:00:00,NULL
Perth,1982/10/17,NULL,19,Group Network for TIS,INTRUDER,SWISS FAMILY ROBINSON,100,1,00:00:00,NULL
Adelaide,1982/10/17,NULL,21,Group Network for TIS,ROGUE,SWISS FAMILY ROBINSON,100,1,00:00:00,NULL
Adelaide,1982/10/17,NULL,12,Group Network for TIS,FINAL PAYMENT,TRUCKIES,100,1,20:30:00,NULL
Melbourne,1982/10/17,NULL,24,Group Network for TIS,DISAPPEARANCE,SWISS FAMILY ROBINSON,100,1,00:00:00,NULL
Melbourne,1982/10/17,NULL,4,Group Network for TIS,PART 3: THE DEFEAT,HEIL CAESAR,100,1,00:00:00,NULL
Darwin,1982/10/17,NULL,2,Group Network for TIS,ANDROID INVASION - PART 2,DR. WHO,410,1,00:00:00,NULL
Melbourne,1982/10/17,NULL,7,Group Network for TIS,MAGPIE ISLAND,MAGPIE ISLAND,100,1,00:00:00,NULL
Darwin,1982/10/17,NULL,12,Group Network for TIS,FINAL PAYMENT,TRUCKIES,100,1,20:30:00,NULL
Brisbane,1982/10/18,NULL,6,Group Network for TIS,HOPES AND DISAPPOINTMENTS,COLONIALS,100,1,00:00:00,NULL
Darwin,1982/10/18,NULL,22,Group Network for TIS,LOST AT SEA,SWISS FAMILY ROBINSON,100,1,00:00:00,NULL
Melbourne,1982/10/18,NULL,25,Group Network for TIS,SECRET OF SHARK ISLAND,SWISS FAMILY ROBINSON,100,1,00:00:00,NULL
Perth,1982/10/18,NULL,20,Group Network for TIS,SKELETON CLUE,SWISS FAMILY ROBINSON,100,1,00:00:00,NULL
Brisbane,1982/10/18,NULL,6,Group Network for TIS,MEN WITHOUT WOMEN,PORRIDGE,100,1,20:00:00,NULL
Darwin,1982/10/18,NULL,6,Group Network for TIS,HOPES AND DISAPPOINTMENTS,COLONIALS,100,1,00:00:00,NULL
Darwin,1982/10/18,NULL,6,Group Network for TIS,MEN WITHOUT WOMEN,PORRIDGE,100,1,20:00:00,NULL
Sydney,1982/10/18,NULL,27,Group Network for TIS,SPRING CLEANING TIME,WOMBLES,100,1,00:00:00,NULL
Perth,1982/10/18,NULL,35,Group Network for TIS,WOMBLES,WOMBLES,100,1,00:00:00,NULL
Adelaide,1982/10/18,NULL,6,Group Network for TIS,RUN FROM THE MORNING,RUN FROM THE MORNING,100,1,20:05:00,NULL
Adelaide,1982/10/18,NULL,9,Group Network for TIS,ARMCHAIR,RED AND THE BLUE,100,1,00:00:00,NULL
Sydney,1982/10/18,NULL,25,Group Network for TIS,SECRET OF SHARK ISLAND,SWISS FAMILY ROBINSON,100,1,00:00:00,NULL
Sydney,1982/10/18,NULL,6,Group Network for TIS,RUN FROM THE MORNING,RUN FROM THE MORNING,100,1,20:05:00,NULL
Hobart,1982/10/18,NULL,6,Group Network for TIS,MEN WITHOUT WOMEN,PORRIDGE,100,1,20:00:00,NULL
Brisbane,1982/10/18,NULL,22,Group Network for TIS,LOST AT SEA,SWISS FAMILY ROBINSON,100,1,00:00:00,NULL
Adelaide,1982/10/18,NULL,6,Group Network for TIS,MEN WITHOUT WOMEN,PORRIDGE,100,1,20:00:00,NULL
Adelaide,1982/10/18,NULL,3,Group Network for TIS,WOMBLES,WOMBLES,100,1,00:00:00,NULL
Adelaide,1982/10/18,NULL,27,Group Network for TIS,SUN SHONE,WORDS AND PICTURES,7603,1,00:00:00,NULL
Brisbane,1982/10/18,NULL,11,Group Network for TIS,WOMBLES,WOMBLES,100,1,00:00:00,NULL
Adelaide,1982/10/18,NULL,7,Group Network for TIS,VINEY,ASIAN NEIGHBOURS - INDIA,100,1,00:00:00,NULL
Sydney,1982/10/18,NULL,6,Group Network for TIS,MEN WITHOUT WOMEN,PORRIDGE,100,1,20:00:00,NULL
Perth,1982/10/18,NULL,6,Group Network for TIS,RUN FROM THE MORNING,RUN FROM THE MORNING,100,1,20:05:00,NULL
Perth,1982/10/18,NULL,6,Group Network for TIS,MEN WITHOUT WOMEN,PORRIDGE,100,1,20:00:00,NULL
Melbourne,1982/10/18,NULL,6,Group Network for TIS,RUN FROM THE MORNING,RUN FROM THE MORNING,100,1,20:05:00,NULL
Hobart,1982/10/18,NULL,6,Group Network for TIS,RUN FROM THE MORNING,RUN FROM THE MORNING,100,1,20:05:00,NULL
Hobart,1982/10/18,NULL,4,Group Network for TIS,WOMBLES,WOMBLES,100,1,00:00:00,NULL
Brisbane,1982/10/18,NULL,6,Group Network for TIS,RUN FROM THE MORNING,RUN FROM THE MORNING,100,1,20:05:00,NULL
Hobart,1982/10/19,NULL,21,Group Network for TIS,ROGUE,SWISS FAMILY ROBINSON,100,1,00:00:00,NULL
Sydney,1982/10/19,NULL,5,Group Network for TIS,JUST JOKING,INSIDE OUT,7700,1,00:00:00,NULL
Brisbane,1982/10/19,NULL,4,Group Network for TIS,ANDROID INVASION - PART 4,DR. WHO,410,1,00:00:00,NULL
Darwin,1982/10/19,NULL,4,Group Network for TIS,ANDROID INVASION - PART 4,DR. WHO,410,1,00:00:00,NULL
Hobart,1982/10/19,NULL,5,Group Network for TIS,POISONING,FIRST ON THE SCENE,100,1,10:55:00,NULL
Perth,1982/10/19,NULL,22,Group Network for TIS,TROG MAKES A TRAP,WORDS AND PICTURES,7603,1,00:00:00,NULL
Darwin,1982/10/19,NULL,2,Group Network for TIS,SENIOR CONSTABLE DON MURRAY,TAS '78,7800,1,13:35:00,NULL
Sydney,1982/10/19,NULL,26,Group Network for TIS,DEADLY FEAST,SWISS FAMILY ROBINSON,100,1,00:00:00,NULL
Brisbane,1982/10/19,NULL,2,Group Network for TIS,SENIOR CONSTABLE DON MURRAY,TAS '78,7800,1,13:35:00,NULL
Hobart,1982/10/19,NULL,5,Group Network for TIS,JUST JOKING,INSIDE OUT,7700,1,00:00:00,NULL
Perth,1982/10/19,NULL,6,Group Network for TIS,BECAUSE IT'S FUN,INSIDE OUT,7700,1,00:00:00,NULL
Darwin,1982/10/19,NULL,23,Group Network for TIS,CASTAWAY,SWISS FAMILY ROBINSON,100,1,00:00:00,NULL
Brisbane,1982/10/19,NULL,23,Group Network for TIS,CASTAWAY,SWISS FAMILY ROBINSON,100,1,00:00:00,NULL
Melbourne,1982/10/19,NULL,5,Group Network for TIS,POISONING,FIRST ON THE SCENE,100,1,10:55:00,NULL
Melbourne,1982/10/19,NULL,5,Group Network for TIS,BUT....NAMES WILL NEVER HURT,INSIDE OUT,7600,1,00:00:00,NULL
Perth,1982/10/19,NULL,8,Group Network for TIS,"SAM, BANGS AND MOONSHINE",BOOKWORM,7800,1,00:00:00,NULL
Adelaide,1982/10/19,NULL,6,Group Network for TIS,HOPES AND DISAPPOINTMENTS,COLONIALS,100,1,00:00:00,NULL
Perth,1982/10/19,NULL,21,Group Network for TIS,ROGUE,SWISS FAMILY ROBINSON,100,1,00:00:00,NULL
Hobart,1982/10/19,NULL,10,Group Network for TIS,DANCING LESSONS,CHORLTON AND THE WHEELIES,100,1,00:00:00,NULL
Melbourne,1982/10/19,NULL,24,Group Network for TIS,TAKE YOUR PARTNERS,CHORLTON AND THE WHEELIES,100,1,00:00:00,NULL
Melbourne,1982/10/19,NULL,5,Group Network for TIS,JUST JOKING,INSIDE OUT,7700,1,00:00:00,NULL
Perth,1982/10/19,NULL,14,Group Network for TIS,UP AND DOWN PLANTS,CHORLTON AND THE WHEELIES,100,1,00:00:00,NULL
Sydney,1982/10/19,NULL,5,Group Network for TIS,POISONING,FIRST ON THE SCENE,100,1,10:55:00,NULL
Hobart,1982/10/20,NULL,11,Group Network for TIS,BIG FLY,RED AND THE BLUE,100,1,00:00:00,NULL
Perth,1982/10/20,NULL,4,Group Network for TIS,NO TRESPASSING,SELF INCORPORATED,100,1,10:15:00,NULL
Perth,1982/10/20,NULL,22,Group Network for TIS,LOST AT SEA,SWISS FAMILY ROBINSON,100,1,00:00:00,NULL
Sydney,1982/10/20,NULL,1,Group Network for TIS,ISLAND,CASTAWAY,100,1,00:00:00,NULL
Darwin,1982/10/20,NULL,6,Group Network for TIS,HOPES AND DISAPPOINTMENTS,COLONIALS,100,1,00:00:00,NULL
Sydney,1982/10/20,NULL,28,Group Network for TIS,WOMBLES,WOMBLES,100,1,00:00:00,NULL
Darwin,1982/10/20,NULL,1,Group Network for TIS,SEEDS OF DOOM - PART 1,DR. WHO,412,1,00:00:00,NULL
Adelaide,1982/10/20,NULL,4,Group Network for TIS,HAND OF FEAR - PART 4,DR. WHO,414,1,00:00:00,NULL
Brisbane,1982/10/20,NULL,24,Group Network for TIS,DISAPPEARANCE,SWISS FAMILY ROBINSON,100,1,00:00:00,NULL
Adelaide,1982/10/20,NULL,0,Group Network for TIS,ACCORDING TO YOUR CLOTH,,0,1,00:01:00,NULL
Hobart,1982/10/20,NULL,22,Group Network for TIS,LOST AT SEA,SWISS FAMILY ROBINSON,100,1,00:00:00,NULL
Adelaide,1982/10/20,NULL,24,Group Network for TIS,DISAPPEARANCE,SWISS FAMILY ROBINSON,100,1,00:00:00,NULL
Melbourne,1982/10/20,NULL,0,Group Network for TIS,ILLUSION,,0,1,00:00:00,NULL
Darwin,1982/10/20,NULL,24,Group Network for TIS,DISAPPEARANCE,SWISS FAMILY ROBINSON,100,1,00:00:00,NULL
Adelaide,1982/10/20,NULL,27,Group Network for TIS,SUN SHONE,WORDS AND PICTURES,7603,1,00:00:00,NULL
Hobart,1982/10/20,NULL,2,Group Network for TIS,SSO: CHARLES MACKERRAS,WORLD OF MUSIC,7800,1,00:00:00,NULL
Melbourne,1982/10/20,NULL,1,Group Network for TIS,ISLAND,CASTAWAY,100,1,00:00:00,NULL
Adelaide,1982/10/21,NULL,1,Group Network for TIS,TRUTH ABOUT GEORGE,WODEHOUSE PLAYHOUSE,100,1,19:30:00,NULL
Adelaide,1982/10/21,NULL,5,Group Network for TIS,DAVE ALLEN AT LARGE,DAVE ALLEN AT LARGE,400,1,00:00:00,NULL
Perth,1982/10/21,NULL,23,Group Network for TIS,CASTAWAY,SWISS FAMILY ROBINSON,100,1,00:00:00,NULL
Brisbane,1982/10/21,NULL,5,Group Network for TIS,DAVE ALLEN AT LARGE,DAVE ALLEN AT LARGE,400,1,00:00:00,NULL
Perth,1982/10/21,NULL,16,Group Network for TIS,TERRY'S BRRRMMM G.T.,BOOKWORM,7800,1,00:00:00,NULL
Darwin,1982/10/21,NULL,2,Group Network for TIS,ROMANCE AT DROITGATE SPA,WODEHOUSE PLAYHOUSE,100,1,19:30:00,NULL
Adelaide,1982/10/21,NULL,7,Group Network for TIS,VINEY,ASIAN NEIGHBOURS - INDIA,100,1,00:00:00,NULL
Brisbane,1982/10/21,NULL,2,Group Network for TIS,SENIOR CONSTABLE DON MURRAY,TAS '78,7800,1,11:40:00,NULL
Hobart,1982/10/21,NULL,2,Group Network for TIS,ROMANCE AT DROITGATE SPA,WODEHOUSE PLAYHOUSE,100,1,19:30:00,NULL
Perth,1982/10/21,NULL,5,Group Network for TIS,HEART OF THE ATOM,CENTURY 3,100,1,00:00:00,NULL
Brisbane,1982/10/21,NULL,25,Group Network for TIS,SECRET OF SHARK ISLAND,SWISS FAMILY ROBINSON,100,1,00:00:00,NULL
Hobart,1982/10/21,NULL,14,Group Network for TIS,FOURTEEN RATS AND A RAT CATCHER,BOOKWORM,7800,1,00:00:00,NULL
Adelaide,1982/10/21,NULL,6,Group Network for TIS,HOPES AND DISAPPOINTMENTS,COLONIALS,100,1,00:00:00,NULL
Adelaide,1982/10/21,NULL,32,Group Network for TIS,PETER COOK - UNIONIST,FACE TO FACE,100,1,20:00:00,NULL
Darwin,1982/10/21,NULL,19,Group Network for TIS,MICROPHONE,RED AND THE BLUE,100,1,00:00:00,NULL
Sydney,1982/10/21,NULL,14,Group Network for TIS,FOURTEEN RATS AND A RAT CATCHER,BOOKWORM,7800,1,00:00:00,NULL
Darwin,1982/10/21,NULL,5,Group Network for TIS,DAVE ALLEN AT LARGE,DAVE ALLEN AT LARGE,400,1,00:00:00,NULL
Sydney,1982/10/21,NULL,10,Group Network for TIS,JUDAH WATEN,FACE TO FACE,100,1,20:00:00,NULL
Brisbane,1982/10/21,NULL,2,Group Network for TIS,ROMANCE AT DROITGATE SPA,WODEHOUSE PLAYHOUSE,100,1,19:30:00,NULL
Melbourne,1982/10/21,NULL,2,Group Network for TIS,REST OF THE JOURNEY,CASTAWAY,100,1,00:00:00,NULL
Perth,1982/10/21,NULL,5,Group Network for TIS,DAVE ALLEN AT LARGE,DAVE ALLEN AT LARGE,400,1,00:00:00,NULL
Perth,1982/10/21,NULL,22,Group Network for TIS,TROG MAKES A TRAP,WORDS AND PICTURES,7603,1,00:00:00,NULL
Adelaide,1982/10/21,NULL,25,Group Network for TIS,OCTOBLOB,CHORLTON AND THE WHEELIES,100,1,00:00:00,NULL
Sydney,1982/10/21,NULL,2,Group Network for TIS,ROMANCE AT DROITGATE SPA,WODEHOUSE PLAYHOUSE,100,1,19:30:00,NULL
Hobart,1982/10/22,NULL,66,Group Network for TIS,FOREMAN VS CHAPULOS,GREATEST FIGHTS OF THE CENTURY,100,1,00:00:00,NULL
Sydney,1982/10/22,NULL,3,Group Network for TIS,JACK JOHNSON VS TOMMY BURNS,GREATEST FIGHTS OF THE CENTURY,100,1,00:00:00,NULL
Hobart,1982/10/23,NULL,36,Group Network for TIS,FOUR CORNERS,FOUR CORNERS,7800,1,20:00:00,NULL
Brisbane,1982/10/23,NULL,6,Group Network for TIS,PHILLIP ADAMS,VISION IN MIND,7800,1,22:30:00,NULL
Perth,1982/10/23,NULL,36,Group Network for TIS,FOUR CORNERS,FOUR CORNERS,7800,1,20:00:00,NULL
Darwin,1982/10/23,NULL,36,Group Network for TIS,FOUR CORNERS,FOUR CORNERS,7800,1,20:00:00,NULL
Perth,1982/10/23,NULL,6,Group Network for TIS,PHILLIP ADAMS,VISION IN MIND,7800,1,22:30:00,NULL
Melbourne,1982/10/23,NULL,13,Group Network for TIS,"WORLD CHESS CHAMPIONSHIPS, 1978",""WORLD CHESS CHAMPIONSHIPS, 1978",""100",1,00:00:00,NULL,
Adelaide,1982/10/23,NULL,6,Group Network for TIS,PHILLIP ADAMS,VISION IN MIND,7800,1,22:30:00,NULL
Perth,1982/10/23,NULL,13,Group Network for TIS,"WORLD CHESS CHAMPIONSHIPS, 1978",""WORLD CHESS CHAMPIONSHIPS, 1978",""100",1,00:00:00,NULL,
Darwin,1982/10/23,NULL,6,Group Network for TIS,PHILLIP ADAMS,VISION IN MIND,7800,1,22:30:00,NULL
Darwin,1982/10/23,NULL,13,Group Network for TIS,"WORLD CHESS CHAMPIONSHIPS, 1978",""WORLD CHESS CHAMPIONSHIPS, 1978",""100",1,00:00:00,NULL,
Adelaide,1982/10/23,NULL,13,Group Network for TIS,"WORLD CHESS CHAMPIONSHIPS, 1978",""WORLD CHESS CHAMPIONSHIPS, 1978",""100",1,00:00:00,NULL,
Sydney,1982/10/23,NULL,6,Group Network for TIS,PHILLIP ADAMS,VISION IN MIND,7800,1,22:30:00,NULL
Brisbane,1982/10/23,NULL,36,Group Network for TIS,FOUR CORNERS,FOUR CORNERS,7800,1,20:00:00,NULL
Perth,1982/10/23,NULL,4,Group Network for TIS,SPIRIT OF OLEGAS,BIG COUNTRY,1800,1,19:30:00,NULL
Melbourne,1982/10/23,NULL,6,Group Network for TIS,PHILLIP ADAMS,VISION IN MIND,7800,1,22:30:00,NULL
Hobart,1982/10/23,NULL,13,Group Network for TIS,"WORLD CHESS CHAMPIONSHIPS, 1978",""WORLD CHESS CHAMPIONSHIPS, 1978",""100",1,00:00:00,NULL,
Sydney,1982/10/23,NULL,36,Group Network for TIS,FOUR CORNERS,FOUR CORNERS,7800,1,20:00:00,NULL
Brisbane,1982/10/23,NULL,13,Group Network for TIS,"WORLD CHESS CHAMPIONSHIPS, 1978",""WORLD CHESS CHAMPIONSHIPS, 1978",""100",1,00:00:00,NULL,
Sydney,1982/10/24,NULL,3,Group Network for TIS,MAN FROM THE SEA,CASTAWAY,100,1,00:00:00,NULL
Hobart,1982/10/24,NULL,13,Group Network for TIS,CHORLTON'S GIFT OF HAPPINESS,CHORLTON AND THE WHEELIES,100,1,00:00:00,NULL
Brisbane,1982/10/24,NULL,11,Group Network for TIS,BEETHOVEN AND THE CELLO,MUSICAL TRIANGLES,200,1,00:00:00,NULL
Adelaide,1982/10/24,NULL,2,Group Network for TIS,FACE OF EVIL - PART 2,DR. WHO,417,1,00:00:00,NULL
Hobart,1982/10/24,NULL,24,Group Network for TIS,DISAPPEARANCE,SWISS FAMILY ROBINSON,100,1,00:00:00,NULL
Perth,1982/10/24,NULL,6,Group Network for TIS,COMPUTER: A UNIVERSAL TOOL,CENTURY 3,100,1,00:00:00,NULL
Darwin,1982/10/24,NULL,11,Group Network for TIS,BEETHOVEN AND THE CELLO,MUSICAL TRIANGLES,200,1,00:00:00,NULL
Brisbane,1982/10/24,NULL,2,Group Network for TIS,SEEDS OF DOOM - PART 2,DR. WHO,412,1,00:00:00,NULL
Adelaide,1982/10/24,NULL,2,Group Network for TIS,OXYGEN,EXPLORING SCIENCE,100,1,00:00:00,NULL
Perth,1982/10/24,NULL,6,Group Network for TIS,HOPES AND DISAPPOINTMENTS,COLONIALS,100,1,00:00:00,NULL
Melbourne,1982/10/24,NULL,3,Group Network for TIS,MAN FROM THE SEA,CASTAWAY,100,1,00:00:00,NULL
Adelaide,1982/10/24,NULL,26,Group Network for TIS,DEADLY FEAST,SWISS FAMILY ROBINSON,100,1,00:00:00,NULL
Perth,1982/10/25,NULL,37,Group Network for TIS,WOMBLES,WOMBLES,100,1,00:00:00,NULL
Adelaide,1982/10/25,NULL,28,Group Network for TIS,WONDERFUL CAKE,WORDS AND PICTURES,7603,1,00:00:00,NULL
Brisbane,1982/10/25,NULL,33,Group Network for TIS,WOMBLES,WOMBLES,100,1,00:00:00,NULL
Darwin,1982/10/25,NULL,3,Group Network for TIS,SEEDS OF DOOM - PART 3,DR. WHO,412,1,00:00:00,NULL
Adelaide,1982/10/25,NULL,1,Group Network for TIS,ISLAND,CASTAWAY,100,1,00:00:00,NULL
